data type           byte      min value           max value           
char                1         -128                127                 
short int           2         -32768              32767               
unsigned short int  2         0                   65535               
int                 4         -2147483648         2147483647          
unsigned int        4         0                   4294967295          
long int            4         -2147483648         2147483647          
unsigned long int   4         0                   4294967295          
float               4         1.17549e-38         3.40282e+38         
double              8         2.22507e-308        1.79769e+308        
long double         16        3.3621e-4932        1.18973e+4932       
